Pas File Name,Wellbore UWI,License Number,Formatted UWI,Producing Zone,Fluid,Fluid Desc,Interval Top TVD (m),Interval Bottom TVD (m),Interval Top Log,Interval Bottom Log,Test Purpose,Test Type,Test Type Desc,Initial Tubing Pressure (kPa),Final Tubing Pressure (kPa),Initial Casing Pressure (kPa),Final Casing Pressure (kPa),Surface Temperature (C),Well Shut In Date,Final Test Date,Test Duration Hours,Reservoir Temperature (C),Gauge Run Depth TVD (m),Gauge Run Depth TMD (m),Last Measured Pressure at Run Depth (kPa),Pressure Correction (kPa),Representative Pressure at MPP (kPa),Reservoir Pressure Gradient (kPa/m),Representative Average Reservoir Pressure (kPa),Liquid Level CF TVD (m),Gas Gradient (kPa/m),Liquid Gradient (kPa/m)
000000173103100.PAS,100040708124W402,0245371,100/04-07-081-24W4/02,Clearwater,02,Gas,364.0,365.0,364.0,365.0,Y,03,Bottom Hole - Static Gradient,2180.0,,2180.0,,,2001-03-05,2001-03-06,0,15.4,362.1,,2260.07,,,0.116,,,,
000000133402700.PAS,100061908124W402,0144063,100/06-19-081-24W4/02,Wabiskaw,02,Gas,423.5,427.0,423.5,427.0,N,03,Bottom Hole - Static Gradient,790.0,,760.0,,,2001-09-19,2001-09-20,0,18.2,425.2,,769.59,,,1.0,,,,
000000119056300.PAS,100062108024W403,0247443,100/06-21-080-24W4/03,CLEARWATER A E & C,02,Gas,314.5,374.3,314.5,374.3,Y,03,Bottom Hole - Static Gradient,1963.0,,1963.0,,,2001-07-05,2001-07-06,0,14.2,312.13,,2014.92,,,0.236,,,,
000000192637000.PAS,100063008124W400,265002,100/06-30-081-24W4/00,Clearwater A - G,02,Gas,292.0,384.5,292.0,384.5,Y,03,Bottom Hole - Static Gradient,93.0,,1417.0,,,2002-10-15,2002-12-23,0,14.76,338.25,,1307.93,,,9.762,,200.0,,
000000161549400.PAS,100063008124W400,265002,100/06-30-081-24W4/00,Clearwater,02,Gas,292.0,384.5,292.0,384.5,Y,03,Bottom Hole - Static Gradient,1816.0,,1816.0,,,2002-02-12,2002-02-13,0,13.88,338.7,,1842.23,,,0.13,,,,
000000070205400.PAS,100071008225W400,0233433,100/07-10-082-25W4/00,Clearwater,02,Gas,299.0,347.5,299.0,347.5,Y,03,Bottom Hole - Static Gradient,2020.0,,2020.0,,,2000-03-16,2000-03-17,0,13.7,345.3,,2301.5,,,9.697,,321.1,,
000000031624700.PAS,100071108225W403,062908,100/07-11-082-25W4/03,CLEARWATER,02,Gas,328.5,367.3,328.5,367.3,Y,03,Bottom Hole - Static Gradient,1558.0,,1444.0,,,1999-09-01,1999-09-02,0,13.53,365.3,,1622.0,,,1.456,,,,
7168149_10032602_GRD.pas,100080708124W403,299099,100/08-07-081-24W4/03,Wabiskaw,02,Gas,429.2,430.2,429.2,430.2,I,03,Bottom Hole - Static Gradient,450.0,450.0,1730.0,1730.0,,2010-02-17,2010-03-12,0,17.33,,425.8,462.66,0.0,462.7,,,,0.036,
6920882_100-10-36-081-25-W4-03-Grand Rapids-2007-11-20 GRD.pas,100103608125W403,0217244,100/10-36-081-25W4/03,Grand Rapids,02,Gas,294.0,295.0,294.0,295.0,I,03,Bottom Hole - Static Gradient,1520.0,1520.0,,,,2007-11-16,2007-11-20,0,14.82,,289.6,1565.5,0.01,1565.5,,,,0.13,
000000256275600.PAS,100110208225W402,299985,100/11-02-082-25W4/02,CLEARWATER B ,02,Gas,362.5,365.5,362.5,365.5,Y,03,Bottom Hole - Static Gradient,0.0,,1513.0,,,2004-02-11,2004-02-12,0,15.02,372.85,,1553.16,,,0.098,,,,
000000257594000.PAS,100151908124W402,299141,100/15-19-081-24W4/02,Clearwater ,02,Gas,393.0,394.5,393.0,394.5,Y,03,Bottom Hole - Static Gradient,0.01,,2299.0,,,2004-02-09,2004-02-10,0,16.74,393.75,,2368.85,,,0.174,,,,
6950171_100-15-29-080-24-W4-02-Clearwater-2008-01-18 GRD.pas,100152908024W402,0265921,100/15-29-080-24W4/02,Clearwater,02,Gas,312.7,372.0,312.7,372.0,A,03,Bottom Hole - Static Gradient,2117.0,93.01,2182.0,2182.0,,2008-01-15,2008-01-18,0,15.93,,338.2,2268.46,0.0,2268.5,,,,2.239,
000000211809100.PAS,100152908024W402,265921,100/15-29-080-24W4/02,Clearwater,02,Gas,371.0,372.0,371.0,372.0,Y,03,Bottom Hole - Static Gradient,2006.0,2017.0,1937.0,,,2003-04-24,2003-04-27,0,15.91,368.2,,2072.9,,,0.142,,,,
000000070206000.PAS,102060808124W400,0233567,102/06-08-081-24W4/00,Clearwater,02,Gas,350.0,408.5,350.0,408.5,Y,03,Bottom Hole - Static Gradient,2040.0,,2040.0,,,2000-03-17,2000-03-18,0,16.2,381.8,,2142.42,,,2.062,,358.2,,
000000088207400.PAS,102061908124W400,0209462,102/06-19-081-24W4/00,Grand Rapids & Clearw A,02,Gas,307.0,399.0,307.0,399.0,Y,03,Bottom Hole - Static Gradient,1555.0,,1550.0,,,2001-01-06,2001-01-07,0,13.6,353.0,,1657.81,,,2.275,,345.2,,
000000035514400.PAS,102062008124W402,212052,102/06-20-081-24W4/02,CLEARWATER,02,Gas,338.0,410.0,338.0,410.0,Y,03,Bottom Hole - Static Gradient,1693.0,,1693.0,,,1999-10-24,1999-10-25,0,15.46,407.25,,1749.8,,,0.132,,,,
